idx, sentence
0,bàn thắng mu mata 81 lingard 111 crystal_palace puncheon 78 thẻ_đỏ mu smalling 105 2 thẻ_vàng hàng công_mu thể_hiện phong_độ thuyết_phục ở giai_đoạn cuối premier_league 6 bàn thắng / 3 trận gần
1,crystal_palace martial rashford mata rooney tiếp_tục duy_trì bộ_mặt hứng_khởi tuyến_đầu
2,đội_bóng louis van_gaal dễ_dàng kiểm_soát trận đấu tạo sức_ép nhỏ về phía khung_thành crystal_palace
3,tiếc họ còn thiếu một_chút chính_xác trong pha dứt_điểm cuối_cùng
4,trong hiệp một hết martial tới mata cơ_hội dứt_điểm cận thành không_thể tận_dụng thành_công
5,sức_ép học_trò louis van gaal tăng dần giờ_nghỉ
6,crystal palace_dù chống_đỡ quyết_liệt nhờ đến thần may_mắn mới tránh khỏi thủng_lưới
7,trong vòng 10 phút giữa hiệp hai hết fellaini sút bóng dội khung gỗ đến martial đánh_đầu đập cột_dọc
8,tấn_công không_thể ghi_bàn mu chịu quy_luật muôn_thuở bóng_đá
9,phút 78 crystal_palace bất_ngờ vươn dẫn cú vô lê cực_nhanh góc hẹp cầu_thủ thay người puncheon
10,niềm vui crystal_palace kéo_dài vẻn_vẹn 3 phút
11,mata lập thế quân_bình bằng pha dứt_điểm chân trái trong vòng cấm
12,bàn thắng chóng_vánh đẩy tốc_độ trận đấu cao hai bên chơi ăn miếng trả_miếng
13,90 phút khép bàn thắng nào ghi thêm
14,hai đội bước hiệp phụ ưu_thế tiếp_tục nghiêng về mu
15,song một lần họ gặp bất_lợi smalling nhận thẻ_vàng thứ hai rời sân ở phút 105 pha phạm lỗi bolasie
16,trong thế thiếu người mu thể_hiện bản_lĩnh một đội bóng lớn
17,họ chơi chắc_chắn tấn_công đâu đấy
18,phút 110 lingard đóng vai người_hùng tung cú sút trái_phá ấn_định tỷ_số 21
19,phút cuối mu nỗ_lực tột_cùng chống_trả sức_ép đối_thủ
20,thủ_môn david de gea dù đau cắn_răng thi_đấu tới hết giờ
21,chiến_thắng 21 dành mu phần_thưởng xứng_đáng học_trò louis van_gaal
22,lần đầu_tiên 12 năm đội bóng thành manchester mới đăng_quang cúp fa
23,đội_hình thi_đấu mu de_gea valencia smalling blind rojo darmian 66 carrick mata lingard 90 fellaini rooney martial rashford young 72
