idx, sentence
0,sáng 108 trao_đổi chúng_tôi thiếu_tá võ_châu_tuấn phó_trưởng công_an huyện kỳ_anh hà_tĩnh xác_nhận thông_tin
1,thiếu_tá tuấn lý nghi phạm “ nằm trong tầm ngắm ” cơ_quan điều_tra lâu người liên_quan đến một đường_dây mua_bán người huyện miền tây nghệ_an đưa về giao nhà_chứa huyện kỳ_anh hành_nghề mại_dâm
2,liên_quan đến vụ_việc công_an huyện kỳ_anh khởi_tố vụ_án khởi_tố bị_can bắt tạm giam 4 tháng đối_với nguyễn_thành_trinh 36 tuổi lê_xuân_kỳ 46 tuổi ngụ xã kỳ_phong huyện kỳ_anh về tội hiếp_dâm trẻ_em
3,tài_liệu điều_tra trinh kỳ mở quán cơm trá_hình xã kỳ_phong tổ_chức hoạt_động mại_dâm
4,ngày 238 2 nhân_viên cũ nghỉ_việc trinh kỳ nhờ lô_thị_lý_tìm giúp một nhân_viên mới về giúp_việc phục_vụ quán cơm
5,ngày 268 lý_gọi điện_thông_báo trinh kỳ tìm em ktb 15 tuổi ngụ huyện thanh_chương nghệ_an hẹn gặp thành_phố vinh nghệ_an “ trao_đổi ”
6,lý_nhận trinh kỳ_5 triệu đồng “ giao ” b hai người đưa về xã kỳ_phong
7,ngày đưa b về tới quán cơm trinh kỳ ngồi nhậu nhau
8,nhậu một kỳ đứng dậy kéo b phòng ở dãy nhà phía đi ngoài
9,tiếp trinh đi phòng dùng vũ_lực hiếp_dâm em b trinh khỏi phòng tiếp_tục ngồi nhậu còn kỳ đi phòng dọa_nạt thực_hiện hành_vi hiếp_dâm em b cơ_quan điều_tra bước_đầu trinh kỳ thừa_nhận hành_vi phạm_tội mình
10,thiếu_tá tuấn biết hiện_nay thủ_đoạn dụ người dân đặc_biệt trẻ_em ở huyện miền núi ở tỉnh nghệ_an thanh_hóa quảng_bình đi giúp_việc quán cơm nhà_hàng huyện kỳ_anh hà_tĩnh đưa nhà_chứa trá_hình hành_nghề mại_dâm gây hệ_lụy khôn_lường
