idx, sentence
0,trao_đổi tuổi_trẻ chiều 16 ông trần_vĩnh_tuyến phó_chủ_tịch ubnd tphcm biết làm_việc công_ty singapore văn_bản báo_cáo chính_thức chủ_tịch ubnd tphcm
1,ông chia_sẻ thêm quan_điểm ông đồng_ý đề_nghị phía singapore
2,bước tiến_hành cụ_thể tính_toán thêm
3,ông tuyến động_thái không_chỉ nhằm tạo điểm nhấn du_lịch mà_còn góp_phần thúc_đẩy chính_quyền điện_tử tphcm triển_khai xây_dựng
4,“ muốn xây_dựng chính_quyền điện_tử công_dân điện_tử
5,muốn hệ_thống wifi phủ_sóng hết ” ông tuyến nói
6,ý_tưởng tốt nghiên_cứu kỹ trao_đổi tuổi_trẻ về ý_tưởng bà văn_thị_bạch_tuyết giám_đốc sở du_lịch tphcm biết một ý_tưởng tốt kích_thích giúp phát_triển du_lịch tphcm
7,bà tuyết du_khách trong ngoài nước dễ_dàng tiếp_cận thông_tin internet mô_hình một điểm cộng thêm tốt sản_phẩm du_lịch tphcm
8,bà tuyết biết yêu_cầu bộ_phận liên_quan sở đề_nghị làm_việc ubnd tp sở thông_tin truyền_thông sở kế_hoạch đầu_tư cơ_hội tiếp_cận nhà đầu_tư tìm_hiểu lộ_trình phương_thức thực_hiện thông_tin liên_quan đến dự_án nhằm phối_hợp triển_khai trong thời_gian sớm nhất
9,thông_tin về doanh_nghiệp nước_ngoài đề_nghị triển_khai phủ_sóng wifi_toàn tphcm một chuyên_gia về viễn_thông tphcm phân_tích phủ_sóng wifi toàn tphcm gần 10 triệu dân đơn_giản
10,vị hiện tphcm một_số điểm phát wifi miễn_phí chất_lượng tốt phố đi bộ nguyễn_huệ đường sách nguyễn_văn_bình
11,“ hạ_tầng chi_phí vận_hành lớn
12,mặt_khác còn vấn_đề hệ_thống mạng viễn_thông đơn_giản sóng wifi
13,mạng viễn_thông lĩnh_vực kinh_doanh đặc_biệt giấy_phép riêng ” chuyên_gia phân_tích
14,kể quyền_lợi doanh_nghiệp viễn_thông trong nước ảnh_hưởng đồng_thời một nhà_đầu_tư nước_ngoài phủ_sóng wifi xuất_hiện lo_ngại về an_toàn thông_tin
15,do_vậy chuyên_gia nghiên_cứu thật kỹ điều_kiện phía singapore đưa chấp_nhận đề_nghị
16,ông trần_vĩnh_tuyến khẳng_định “ phủ_sóng wifi nắm an_toàn thông_tin ”
17,nguồn tin riêng tuổi_trẻ doanh_nghiệp singapore liên_hệ một_số cơ_quan_chức_năng liên_quan việt_nam đảm_bảo vấn_đề an_toàn thông_tin quản_lý tốt
18,đà_nẵng hội_an thuận_tiện nhanh_chóng đà_nẵng tháng 112012 dự_án wifi miễn_phí triển_khai kinh_phí đầu_tư hơn 1 triệu usd tiết_kiệm gói thầu thuộc tiểu dự_án phát_triển công_nghệ_thông_tin truyền_thông đà_nẵng ngân_hàng thế_giới tài_trợ
19,giai_đoạn 2 dự_án triển_khai năm 2013 nâng tổng vốn đầu_tư dự_án 2 triệu usd
20,năm 2014 hệ_thống wifi miễn_phí đà_nẵng chính_thức vận_hành
