idx, sentence
0,năm 2014 lâu tổng_thống barack_obama hạ_cánh sân_bay san_francisco tham_gia một sự_kiện gây quỹ đoàn xe ông rút khỏi sân_bay đi tốc_độ 80 dặm / giờ đưa ông về thẳng khách_sạn
1,dẫn_đầu đoàn xe một loạt xe màu đen bóng_loáng chống đạn mật_vụ điều_khiển
2,họ trải hàng trăm giờ huấn_luyện lái xe tốc_độ cao
3,new_york_times trong loạt xe chở đầy nhân_viên nhà_trắng phóng_viên natalie_tyson mới 24 tuổi điều_khiển một xe chở 15 nhà_báo
4,cô sinh_viên california chia_sẻ cô lựa_chọn thế_nào trong số tình_nguyện viên làm tài_xế đoàn xe hộ_tống tổng_thống obama trong ngày ông ở san_francisco
5,“ tôi hiểu sao họ tin_tưởng tôi một xe chở đầy 15 nhà_báo ” – natalie kể trải_nghiệm dù cô hề kinh_nghiệm huấn_luyện thậm_chí còn biết làm trong một tình_huống khẩn_cấp
6,natalie kể đoàn xe hộ_tống tổng_thống luôn mật_vụ bảo_vệ vị lãnh_đạo cảnh_sát địa_phương hỗ_trợ xe cứu_thương
7,tuy_nhiên trong đoàn xe đóng vai_trò ‘ lấp chỗ trống ’ thường đi giữa chở nhân_sự nhà_trắng nhân_viên truyền_thông báo_chí
8,daily mail dẫn lời natalie kể một tuần tổng_thống obama tới san_francisco ngày 10/10/2014 một người bạn cô làm_việc tại_nhà trắng nhắn_tin hỏi cô muốn lái một xe chở nhà_báo tác_nghiệp hay
9,natalie thú thật cô lái_xe cỡ lớn hồ_sơ lái xe cô khá ‘ sạch_sẽ ’ vấn_đề về pháp_lý sẵn_sàng đảm_nhận nhiệm_vụ
10,một tuần cô có_mặt sân_bay quốc_tế_san_francisco chờ đón không_lực một hạ_cánh
11,hỏi cô phản_ứng thế_nào trong trường_hợp xảy tấn_công natalie_tyson thừa_nhận cô mật_vụ chỉ_dẫn sơ_bộ ngồi bánh_lái
12,họ chủ_yếu cảnh_báo_cô đụng bất_kỳ xe hộ_tống nào cảnh_sát thường cảnh_sát địa_phương điều_khiển
13,natalie nói thêm trong trường_hợp xảy sự_cố cô đuôi xe phía
14,“ dù_thế_nào tôi đủ tốt họ ” – natalie nói
15,thực_tế tổng_thống mỹ di_chuyển trong dòng xe gọi_là ‘ gói an_ninh ’
16,mật_vụ huấn_luyện đưa ‘ gói an_ninh ’ di_chuyển ngoài đoàn hộ_tống trong trường_hợp khẩn_cấp
17,họ tách khỏi nhóm đảm_bảo tổng_thống an_toàn
18,đưa một người mới tập_sự natalie_tyson tham_gia đoàn xe hộ_tống tổng_thống vấp phản_đối dù cơ_quan mật_vụ mỹ hoạt_động quy_chuẩn năm 1980
19,emmett tác_giả cuốn sách ‘ within_arm’s_length a_secret_service_agent’s_definitive_inside_account_of_protecting the president ’ đảm_nhận vai_trò mật_vụ năm 1983 2004
20,“ đoàn xe hộ_tống gặp hỏa_hoạn rắc_rối
21,phương_tiện thuộc lực_lượng hành_pháp gây tình_trạng rối canh hẹ
22,mọi người phản_ứng nhân_viên cảnh_sát mật_vụ tất_cả người chạy lòng_vòng hoảng_loạn y_như cảnh cuối trong phim ‘ blues_brothers_’ cảnh_sát truy_đuổi quy_mô lớn kết_thúc 50 xe nát_bươm ” – emmett nói
