idx, sentence
0,cnn một trong hàng_không lớn nhất châu_âu lufthansa hay họ ngừng vô_thời_hạn tuyến bay đến venezuela bắt_đầu ngày 176
1,hiện quốc_gia nam_mỹ chật_vật cuộc khủng_hoảng_kinh_tế nhân_đạo
2,phát_ngôn_viên andreas_bartles hãng bay lufthansa hay hai lý_do giải_thích quyết_định
3,thứ nhất chuyến bay đạt đủ nhu_cầu làm đầy ghế trống đặc_biệt số hành_khách bay hạng thương_gia ít
4,thứ nhì công_ty gặp khó chuyển_đổi bolivar đồng_tiền venezuela vốn sử_dụng loại tỷ_giá hối_đoái đa tầng phức_tạp
5,dù ngừng vô_thời_hạn chuyến bay lufthansa kế_hoạch đóng cửa văn_phòng thủ_đô caracas
6,venezuela phụ_thuộc lớn nguồn thu dầu_mỏ
7,hai năm giá dầu rẻ đè_nén nền kinh_tế đất_nước
8,cuộc khủng_hoảng_kinh_tế làm thiếu_hụt thực_phẩm thuốc_men khiến hàng_loạt người lao_động thất_nghiệp
9,quỹ tiền_tệ quốc_tế imf dự_báo tỷ_lệ thất_nghiệp ở venezuela đến mức đáng kinh_ngạc 21 trong năm tới
10,chính_phủ venezuela nỗ_lực xoay sở tình_hình bằng biện_pháp cắt điện luân_phiên tiết_kiệm điện
11,người lao_động công_tác trong khối nhà_nước làm_việc hai ngày tuần
