idx, sentence
0,ngôi_sao đến nước anh người nhận 8 đề_cử không_thể có_mặt lễ trao giải tiếp_tục chuyến lưu_diễn thế_giới mình đánh_bại justin_bieber drake taylor_swift the_weeknd giành giải_thưởng danh_giá nhất trong đêm nghệ_sĩ năm
1,cô mang về giải_thưởng album top_billboard 200 album 25 xuất_sắc vượt purpose justin_bieber x ed_sheeran 1989 taylor_swift beauty_behind_the_madness the_weeknd
2,trong một tin nhắn video thu adele gửi lời cảm_ơn tới khán_giả không_thể tin tôi giành giải_thưởng thêm một lần hãy uống mừng tôi nhé
3,justin bieber chiến_thắng ở hạng_mục nam nghệ_sĩ xuất_sắc trong the_weeknd giành 8 giải_thưởng hơn bất_kỳ nam nghệ_sĩ nào trong lịch_sử bao_gồm cải giải_nghệ_sĩ top_hot 100
4,trong bài phát_biểu mình nam ca_sĩ ca_ngợi prince nguồn cảm_hứng lớn mình
5,tôi muốn dành giải_thưởng đến prince quá_cố
6,mong ông yên_nghỉ anh nói tôi yêu_quý ông
7,tôi biết ông ấy con_người gần_gũi trong cuộc_sống tôi
8,ông ấy luôn một nguồn cảm_hứng bất_tận
9,rihanna nhận giải thành_tựu billboard chiến_thắng trong cuộc bỏ_phiếu công_cộng đối_thủ drake adele little_big_town the_weeknd
10,cống_hiến trong sự_nghiệp celine_dion vinh_danh giải billboard biểu_tượng
11,nữ diva không_thể kiềm nước_mắt nhận cúp chính con_trai mình
12,danh_sách đầy_đủ cá_nhân / sản_phẩm âm_nhạc giành giải_thưởng nghệ_sĩ hàng_đầu adele nghệ_sĩ mới fetty_wap_nam nghệ_sĩ xuất_sắc justin_bieber_nữ_nghệ_sĩ xuất_sắc adele_nhóm nhạc / cặp song_ca xuất_sắc one direction giải thành_tựu billboard rihanna nghệ_sĩ top_billboard 200 adele nghệ_sĩ top_hot 100 the weeknd nghệ_sĩ doanh_thu bán ca_khúc hàng_đầu the weeknd nghệ_sĩ ca_khúc radio hàng_đầu the weeknd nghệ_sĩ sở_hữu ca_khúc nghe trực_tuyến hàng_đầu the weeknd nghệ_sĩ truyền_thông xã_hội yêu_mến nhất justin_bieber nghệ_sĩ làm tour diễn thành_công nhất taylor_swift nghệ_sĩ rb xuất_sắc the weeknd nghệ_sĩ rap xuất_sắc drake nghệ_sĩ nhạc_đồng_quê xuất_sắc luke_bryan nghệ_sĩ nhạc rock xuất_sắc twenty one_pilots nghệ_sĩ nhạc latin xuất_sắc romeo_santos nghệ_sĩ nhạc dance / điện_tử xuất_sắc david guetta giải_album xuất_sắc billboard 200 adele 25 nhạc phim xuất_sắc pitch_perfect 2 album_rb the_weeknd beauty behind the madness_album_rap meek_mill dreams_worth_more_than_money_album nhạc_đồng_quê chris_stapleton traveller_album nhạc rock twenty_one_pilots blurryface_album nhạc latin juan_gabriel los_duo_album nhạc dance / điện_tử zedd true_colors ca_khúc đứng đầu bxh_top_hot 100 wiz_khalifa_ft
13,charlie_puth see_you_again ca_khúc bán_chạy nhất adele hello ca_khúc radio hay nhất hello shut_up_and_dance ca_khúc nghe trực_tuyến nhất audio the_weeknd the_hills ca_khúc nghe trực_tuyến nhất video silento watch_me ca_khúc rb hay nhất the_weeknd the_hills ca_khúc rap hay nhất wiz_khalifa_ft
14,charlie_puth see_you_again ca_khúc nhạc_đồng_quê hay nhất thomas_rhett die_a_happy_man ca_khúc nhạc rock hay nhất walk the moon shut_up_and_dance ca_khúc nhạc latin hay nhất nicky jam enrique_iglesias el_perdon
