idx, sentence
0,lễ trao giải billboard_music_awards lần thứ 24 diễn ra vào đêm 22/5 vừa_qua tại tmobile_arena  las_vegas  mỹ đã cống_hiến cho người xem những màn trình_diễn đầy ấn_tượng của các ngôi_sao lớn như  rihanna  demi_lovato  celine_dion  britney_spears … bên_cạnh đó là sự cạnh_tranh khốc_liệt tại các hạng_mục giải_thưởng lớn của 3 cái tên dẫn_đầu danh_sách đề_cử là the_weeknd  justin_bieber và drake 
1,tuy_nhiên  điều bất_ngờ nhất trong đêm trao giải lại đến từ adele khi “ họa mi nước anh ” ẵm trọn 5 giải_thưởng quan_trọng nhất gồm  album xuất_sắc_billboard 200  25   nghệ_sĩ xuất_sắc bxh_billboard 200  ca_khúc bán_chạy nhất  hello   nghệ_sĩ nữ xuất_sắc và nghệ_sĩ xuất_sắc 
2,dù giành được loạt cúp danh_giá tại billboard_music_awards 2016 nhưng adele lại không_thể có_mặt nhận giải vì vướng lịch_trình đi tour thế_giới 
3,thay vào đó  adele đã gửi clip bày_tỏ cảm_xúc khi biết tin thắng giải và gửi lời cảm_ơn tới những khán_giả đã luôn ủng_hộ cô trong suốt thời_gian qua 
4,giải_thưởng năm nay cũng ghi_nhận thành_công của the_weeknd 
5,dù không chiến_thắng cả 16 đề_cử có tên nhưng anh cũng xuất_sắc giành tới 5 cúp vàng cho các giải  nghệ_sĩ xuất_sắc bxh_hot 100  nghệ_sĩ xuất_sắc bxh_radio_songs  nghệ_sĩ xuất_sắc bxh_streaming_songs  nghệ_sĩ rb xuất_sắc  album_rb xuất_sắc  beauty_behind_the_madness   vv … theo sau là justin_bieber với 2 giải dành cho nghệ_sĩ nam xuất_sắc và nghệ_sĩ xuất_sắc mxh 
6,đáng tiếc cho drake khi anh có tới 11 đề_cử nhưng chỉ giành chiến_thắng tại duy_nhất hạng mục nghệ_sĩ rap xuất_sắc 
7,kết_quả billboard_music_awards 2016 nghệ_sĩ xuất_sắc  adele nghệ_sĩ mới xuất_sắc  fetty_wap nghệ_sĩ nam xuất_sắc  justin_bieber nghệ_sĩ nữ xuất_sắc  adele bộ đôi / nhóm nhạc xuất_sắc  one_direction nghệ_sĩ xuất_sắc billboard 200  adele nghệ_sĩ xuất_sắc hot 100  the weeknd nghệ_sĩ xuất_sắc bxh_radio_songs  the weeknd nghệ_sĩ xuất_sắc bxh_streaming_songs  the weeknd nghệ_sĩ xuất_sắc mxh  justin_bieber nghệ_sĩ đi tour xuất_sắc  taylor_swift nghệ_sĩ rb xuất_sắc  the weeknd nghệ_sĩ rap xuất_sắc  drake nghệ_sĩ đồng_quê xuất_sắc  luke_bryan nghệ_sĩ rock xuất_sắc  twenty one pilots nghệ_sĩ latin xuất_sắc  romeo_santos nghệ_sĩ dance / electronic xuất_sắc  david_guetta_album xuất_sắc billboard 200  adele  25 soundtrack xuất_sắc  pitch_perfect 2 album_rb xuất_sắc  the_weeknd  beauty behind the madness_album_rap xuất_sắc  meek_mill  dreams_worth_more_than_money_album đồng_quê xuất_sắc  chris_stapleton  traveller_album_rock xuất_sắc  twenty one pilots  blurryface_album_latin xuất_sắc  juan_gabriel  los_dúo_album_dance / electronic xuất_sắc  zedd  true_colors ca_khúc xuất_sắc hot 100  wiz_khalifa_ft 
8,charlie_puth  see_you_again ca_khúc bán_chạy nhất  adele  hello ca_khúc xuất_sắc trên sóng_radio  walk the moon  shut_up_and_dance ca_khúc được nghe trực_tuyến nhiều nhất  the_weeknd  the_hills_video được xem trực_tuyến nhiều nhất  silentó  watch_me ca_khúc rb xuất_sắc  the_weeknd  the_hills ca_khúc rap xuất_sắc  wiz_khalifa_ft 
9,charlie_puth  see_you_again ca_khúc đồng_quê xuất_sắc  thomas_rhett  die_a_happy_man ca_khúc rock xuất_sắc  walk the moon  shut_up_and_dance ca_khúc latin xuất_sắc  nicky jam  enrique_iglesias  el_perdon ca_khúc dance / electronic xuất_sắc  major lazer  dj_snake_featuring_mø  lean_on
