idx, sentence
0,chiều ngày 285 chủ_tịch ubnd tp hà_nội nguyễn_đức_chung cuộc đối_thoại hơn hai tiếng hàng trăm người dân ba xã nam_sơn bắc_sơn hồng_kì sóc_sơn hà_nội về đề xung_quanh khu liên_hiệp xử_lý rác_thải nam_sơn
1,cuộc đối_thoại người dân ba xã đưa tổng_cộng 33 vấn_đề
2,trong người dân phản_ánh 70 hộ trong vùng ảnh_hưởng bãi rác hiện_nay sử_dụng nước giếng_khoan chất_lượng nước đảm_bảo đề_xuất thành_phố cung_cấp nước_sạch miễn_phí quy_định trong thời_gian 24/24 giờ thay_vì 8 giờ sáng đến 5 giờ chiều hiện_nay
3,trả_lời 33 vấn_đề chủ_tịch nguyễn_đức_chung giải_đáp một_số vấn_đề một_số còn xin “ khất ” người dân ba xã phối_hợp cơ_quan_chức_năng khác sớm đưa kết_luận cụ_thể
4,về kiến_nghị hưởng bảo_hiểm y_tế ở mức cao nhất ông chung giao nhiệm_vụ chủ_tịch ubnd huyện sóc_sơn triển_khai cấp thẻ bảo_hiểm y_tế tất_cả người dân trong vùng ảnh_hưởng thời_gian thực_hiện ngày thứ 2 305 tới
5,ngoài_ra 9 tổ công_tác khám chữa bệnh ban_đầu người dân địa_phương bộ_tư_lệnh thủ_đô đảm_nhiệm sáng 305
6,thành_phố làm_việc bộ y_tế bảo_hiểm_xã_hội việt_nam họp bàn nghiên_cứu về mức chi_trả người dân tinh_thần vận_dụng mức cao nhất
7,về cấp nước_sạch ông chung giao sở xây_dựng nghiên_cứu thực_hiện dự_án tiến_hành lắp_đặt đường_ống đến hộ dân cung_cấp nước_sạch
8,chủ_tịch ubnd tp hà_nội biết thời_gian tới triển_khai xây_dựng một_số trạm quan_trắc trong vùng ô_nhiễm bãi_rác theo_dõi mức ảnh_hưởng đến người dân khoa_học nhất
9,ông hay tp nỗ_lực giải_quyết vấn_đề ô_nhiễm môi_trường đặc_biệt ở xã nam_sơn trong chuyển công_nghệ chôn rác cũ sang đốt rác hiện_đại hơn hạn_chế ảnh_hưởng tiêu_cực đến cuộc_sống người dân
10,tp quy_hoạch xây_dựng nhà_máy xử_lý rác ở điểm giảm tải bãi rác nam_sơn
11,đối_với vấn_đề nâng mức hỗ_trợ ảnh_hưởng bãi_rác ông chung cam_kết buổi đối_thoại chỉ_đạo ngành nghiên_cứu nâng mức hỗ_trợ người dân trong vùng chịu ảnh_hưởng ô_nhiễm
12,tuy_nhiên nâng mức hỗ_trợ thuộc thẩm_quyền hđnd tp vì_vậy cá_nhân ông không_thể trả_lời
13,về di_dời ông chung chỉ_đạo ubnd huyện sóc_sơn triển_khai dự_án di_dời người dân trong khu_vực ô nhiệm ở phạm_vi 500 m
14,“ tp bố_trí đủ ngân_sách vì_vậy huyện làm dự_án làm hạ_tầng đến đâu thực_hiện di_chuyển người dân tới ” – chủ_tịch ubnd tp hà_nội nói
15,còn hoa_màu ảnh_hưởng hệ_thống chiếu sáng ven đường ông chung biết chỉ_đạo sở khoa họccông nghệ tiến_hành nghiên_cứu trước_mắt chỉ_đạo giảm 50 ánh_sáng tuyến đường chở rác ban_đêm ảnh_hưởng đến đời_sống nhân_dân
16,ngoài_ra tp xây_dựng rãnh thoát nước thu_gom nước rác_thải xe chuyên_chở làm rơi xuống đường vận_chuyển tổ_chức bơm nước rửa đường hạn_chế ô_nhiễm …
