idx, sentence
0,sáng nay công_an huyện quế_phong nghệ_an biết địa_bàn xảy vụ án_mạng “ giết người cướp tài_sản ” nghiêm_trọng
1,vụ_án khiến 1 người tử_vong 1 người bị_thương nặng
2,khoảng 20 h ngày 28/5 công_an xã mường_nọc huyện quế_phong nhận tin báo hai vợ_chồng ông sầm_văn_dần 61 tuổi bà vi_thị_loan 63 tuổi trú bản cỏ_noong xã mường_noọc quế_phong sát_hại nhà_riêng
3,hiện_trường bà loan chém nhát chết tại_chỗ còn ông dần chém bất_tỉnh sàn nhà
4,anh vi_văn_xan trú bản biết khoảng 20 h ngày ông dần bò lết nhà anh trong tình_trạng bê_bết máu vết dao đâm ở cổ bụng ngực ông dần đưa đi cấp_cứu bệnh_viện đa_khoa nghệ_an
5,ông lương trường_sơn trưởng ca xã mường_noọc biết nghi can gây_án xác_định vi_văn_thắng 23 tuổi trú bản nạn_nhân
6,chiều 28/5 thắng đến nhà ông dần uống rượu
7,uống xong thắng ông dần nằm ngủ ở sàn nhà
8,một thắng tỉnh_giấc ra_tay sát_hại bà loan cướp đôi bông_tai bằng vàng
9,chém ông dần nhát bất_tỉnh sàn nhà tưởng nạn_nhân chết thắng bỏ trốn khỏi hiện_trường
10,đến 9 h sáng ngày 29/5 công_an huyện quế_phong nghệ_an phát_hiện đối_tượng thắng lẩn trốn nhà người_thân bản phương_tiến 1 xã tiền_phong
11,lực_lượng công_an nhanh_chóng triển_khai kế_hoạch vây_bắt
12,phát_hiện lực_lượng chức_năng vây_bắt đối_tượng tự dùng dao đâm cổ tự_sát
13,lực_lượng công_an nhanh_chóng đưa thắng tới bệnh_viện đa_khoa huyện quế_phong cấp_cứu
14,11 h trưa ngày thăm khám ban_đầu đối_tượng thắng bị_thương quá nặng chuyển bệnh_viện tuyến điều_trị
15,biết đối_tượng thắng một con_nghiện lâu thường hay trộm_cắp tài_sản người_dân địa_bàn
