idx, sentence
0,giữ phong_độ mùa_hè năm_ngoái
1,mới_đây liverpool nhanh_chóng tân_binh đầu_tiên dù kỳ chuyển_nhượng mùa_hè chính_thức mở_cửa
2,liverpool hoàn_tất bản hợp_đồng chuyển_nhượng thủ_môn loris_karius mainz 05 mức giá 47 triệu bảng
3,thủ_môn 22 tuổi gắn_bó the_kop trong 5 năm
4,biết sở_dĩ vị_trí đầu_tiên hlv jurgen_klopp lựa_chọn gia_cố người trấn_giữ khung_thành trong bối_cảnh simon_mignolet trao cơ_hội thể_hiện hầu_như thất_vọng
5,thủ_môn loris_karius phần_nào đáp_ứng nhu_cầu jurgen_klopp anh thi_đấu cực_kỳ xuất_sắc trong mùa giải vừa_qua
6,cụ_thể anh bắt chính 34 trận mainz 05 mùa nay đóng_góp lớn vị_trí thứ 6 chung_cuộc đội bóng ở bundesliga
7,thậm_chí thủ_thành karius cầu_thủ thi_đấu giải vđqg_đức bình_chọn người xuất_sắc thứ hai giải đấu đúng manuel_neuer bayern_munich
8,biết gia_nhập đội chủ sân anfield thủ_thành loris_karius mặc áo số 1 đúng số áo anh yêu_cầu
9,còn thủ_môn simon_mignolet tiếp_tục khoác áo số 22
10,chia_sẻ trang liverpoolfccom thủ_thành 22 tuổi tỏ hạnh_phúc chuyển đến chơi the_kop
