idx, sentence
0,bóng mới lăn 14 phút ha_gia_lai tìm bàn thắng mở tỷ_số
1,quả đá phạt cách khung_thành khánh_hoà_chừng 25 m cựu trung_vệ đội_tuyển u19 việt_nam trần_hữu_đông_triều cú sút phạt cực_mạnh làm bó_tay thủ_môn tuấn_mạnh khánh_hoà ghi_bàn giúp đội bóng phố núi dẫn 10
2,bàn thua khánh_hoà dồn tấn_công mạnh_mẽ
3,lâu thủng_lưới đội bóng phố biển cơ_hội gỡ hoà
4,phút 16 thủ_thành tô vĩnh_lợi bên phía ha gia_lai truy cản trái_phép cầu_thủ đối_phương trong khu_vực 16 m50 ha_gia_lai chịu phạt_đền
5,dù_vậy chấm 11 m uche khánh_hoà thắng thủ_thành tô vĩnh_lợi đội chủ nhà không_thể bàn thắng
6,tuy_nhiên bất_chấp đá thành_công_quả 11 m bản_thân uche nói_riêng toàn đội khánh_hoà nói_chung xuống tinh_thần bằng_chứng họ ghi liên_tiếp 2 bàn hiệp 1 kết_thúc
7,phút 31 chính uche người pha đá phạt trực_tiếp khoảng 20 m đưa bóng hàng_rào phòng_ngự đội khách làm bó_tay thủ_thành tô vĩnh_lợi bên phía ha gia_lai san_bằng tỷ_số 11 đội bóng phố biển
8,hết chừng 5 phút chính uche người ghi_bàn thắng thứ 2 giúp khánh_hoà vượt dẫn
9,đấy tình_huống hàng thủ ha_gia_lai bỏ lỏng tiền_đạo ngoại đội chủ nhà uche ung_dung hạ_thủ_môn tô vĩnh_lợi trong pha đối_mặt 21
10,sang hiệp 2 cho_dù uche chấn_thương không_thể tiếp_tục hiện_diện sân lối chơi tấn_công khánh_hoà đầy nguy_hiểm trong ha_gia_lai tỏ ta thiếu kinh_nghiệm trong tổ_chức phòng_ngự
11,một_vài cơ_hội bỏ lỡ khánh_hoà bàn thắng thứ 3 ở phút 63
12,đấy tình_huống cầu_thủ ha_gia_lai bất_lực trong pha chống bóng bổng bóng đến chân_đình_kha bên phía khánh_hoà cầu_thủ tung người đá vô lê tuyệt đẹp góc gần nâng tỷ_số 31 đoàn quân hlv võ_đình_tân
13,dừng ở phút bù giờ thứ 2 trận đấu khánh_hoà ghi thêm 1 bàn công duy_thanh đến một tình_huống kết_thúc cận thành ấn_định chiến_thắng 41 đội bóng phố biển đồng_thời khép một buổi chiều buồn ha gia_lai
