idx, sentence
0,phó chủ_tịch ubnd tp hcm lê_văn_khoa yêu_cầu ubnd quận 5 rà_soát phương_án hỗ_trợ bồi_thường tái_định_cư vận_động 10 hộ dân còn khẩn_trương di_dời khỏi chung_cư số 727 đường trần_hưng_đạo phường 1 quận 5
1,vận_động thuyết_phục 10 hộ dân còn chịu di_dời thực_hiện cưỡng_chế
2,tin_tức báo vnexpress biết chính_quyền thành_phố chỉ_đạo quận 5 phối_hợp cơ_quan liên_quan tiếp_tục theo_dõi cập_nhật tình_trạng chất_lượng công_trình chung_cư xử_lý hiện_tượng nguy_cơ sập đổ nhằm đảm_bảo an_toàn cao nhất người dân
3,ubnd tp giao công_ty tnhh_mtv dịch_vụ công_ích quận 5 chủ đầu_tư xây_dựng mới chung_cư chịu trách_nhiệm thanh_toán chi_phí kiểm_định chung_cư công_ty kiểm_định xây_dựng sài_gòn liên_hệ đôn_đốc đơn_vị kiểm_định thực_hiện sớm sở xây_dựng cơ_sở triển_khai tiếp nội_dung liên_quan
4,báo dân_trí chung_cư 727 xây_dựng năm 1975 kết_cấu 13 tầng 1 sân_thượng sinh_sống 600 hộ hơn 2500 nhân_khẩu
5,cơ_sở_hạ_tầng xuống_cấp đảm_bảo trong công_tác phòng_chống cháy nổ an_toàn tính_mạng người dân cuối năm 2007 ubnd tphcm chỉ_đạo ban_ngành liên_quan khẩn_trương di_dời chung_cư chậm nhất đến ngày 30/4/2008 hoàn_thành
6,tuy_nhiên đến nay 10 hộ dân rời khỏi căn chung_cư xem “ tàn_tạ ” nhất sài_gòn
7,cuộc họp quận_ủy quận 5 ngày 20/5 bí_thư thành_ủy tp hcm đinh_la_thăng truy_vấn chung_cư xuống_cấp sập bất_cứ lúc_nào
8,ông chung_cư 727 trần_hưng_đạo mệnh_danh chung_cư hoang_tàn nhất sài_gòn nằm địa_bàn quận 5
9,chúng_ta thấy quan_tài đổ lệ nó đổ sập xuống mới lo cuống_cuồng làm
10,kiểu cơ_chế bây_giờ ví_dụ cầu ghềnh hơn trăm tuổi biết_bao hội_thảo báo_cáo bàn_tính xây mới cuối_cùng ông lái xà_lan quyết một cầu mới luôn ông thăng nói
