idx, sentence
0,trong ngày 31/5 ván đấu thứ sáu giải cờ_vua vô_địch châu_á diễn giữa lê_quang_liêm elo 2718 đối_thủ đến indonesia sethuraman elo 2647
1,trong trận đấu quang_liêm việt_nam cầm_quân đen giành chiến_thắng thuyết_phục kỳ thủ người indonesia
2,trong ngày đấu gao_rui elo 2556 thua trận đồng_hương trung_quốc wei_yi elo 2694 lê_quang_liêm việt_nam giành vị_trí dẫn_đầu mình giải cờ_vua vô_địch châu_á
3,quang liêm hiện_tại bất bại sáu ván bốn thắng hai hoà năm điểm
4,bằng điểm_số anh kém chỉ_số phụ wei_yi
5,ở ván đấu thứ_bảy diễn hôm_nay 1/6 hai đối_thủ dẫn_đầu đụng_độ trực_tiếp
6,quang liêm lợi_thế cầm_quân trắng
7,dù ván đấu thứ 4 kỳ_thủ việt_nam chịu bất_lợi cầm quân đen wei_yang elo 2611 cầm hoà
8,nguyễn_ngọc trường_sơn elo 2636 bốn điểm đứng thứ 18
9,ở ván thứ_sáu anh cầm_quân trắng đánh_bại sonaya_deni elo 2310
10,hôm_nay kỳ_thủ việt_nam cầm quân đen đối_đầu igonin_temur elo 2474
