idx, sentence
0,uefa hôm 24/5 thông_báo quyết_định phạt_tiền mu lẫn liverpool clb gần 65000 đôla
1,cụ_thể liverpool phạt gần 45000 đôla cđv hát xúc_phạm đối_phương thêm hơn 19000 đôla tội cđv đốt pháo sáng tấn_công người khác quăng ném đồ_vật gây rối_loạn sân
2,trong man_utd phạt gần 45000 đôla cđv hát khiêu_khích đối_phương thêm 20000 đôla chặn cầu_thang ở sân old_trafford trận lượt_về gây rối_loạn đám đông tấn_công người khác
3,liverpool còn đền_bù thiệt_hại về cơ_sở_vật_chất người hâm_mộ họ gây ở old_trafford
4,clb thành_phố cảng liên_hệ man_utd trong vòng 30 ngày tới đạt thỏa_thuận về số tiền đền_bù cụ_thể
5,cuộc chạm_trán ở vòng 1/8 europa_league mùa giữa man_utd liverpool diễn căng_thẳng sân khán_đài
6,ở lượt_đi anfield ngày 11/3 cđv_man_utd hành_động xúc_phạm đến nạn_nhân thảm_họa hillsborough hát chế_giễu về sự_cố đau_buồn hồi năm 1989 96 cđv_liverpool chết trong vụ xô_xát ở bán_kết cup fa 1989 nottingham_forest
7,tới old_trafford một tuần cđv_liverpool đáp trả bằng cách hát giăng biểu_ngữ gợi nỗi đau man_utd trong thảm_kịch munich 1958 tám cầu_thủ man_utd chết trong vụ máy_bay rơi ở munich
8,cuối trận lượt_về old_trafford người hâm_mộ hai đội lao đánh nhau ở một góc khán_đài
9,họ thậm_chí dùng ghế tấn_công nhau
10,cảnh_sát bắt_giữ năm kẻ quá_khích trong vụ
