idx, sentence
0,hôm 235 đoàn làm phim ma_nữ báo_thù đạo_diễn vĩnh_khương buổi giao_lưu báo_chí tham_gia diễn_viên trịnh kim_chi hiền_mai mai hàn diễn_viên chính trương_nam_thành_dù bận quay_phim tranh_thủ đến sớm 30 phút giao_lưu lên_đường đi long_an
1,trương_nam_thành biết đọc kịch_bản anh thích_thú nhân_vật mình
2,trong phim á vương 3 cuộc thi manhunt 2011 vai huy chàng luật_sư điển_trai một tương_lai ngời sáng một tình_yêu tươi_đẹp lan thanh_trần
3,tuy_nhiên về nhà_lan ngỏ cưới huy vướng lưới tình một ma_nữ xinh_đẹp trong chính ngôi nhà lan
4,đọc kịch_bản thành ồ thích_thú nhân_vật mình
5,luật_sư huy_lâm tình_huống một tình_yêu chân_thành vợ sắp cưới sa lưới tình một ma_nữ xinh_đẹp
6,giống tình người duyên ma_vậy trương_nam_thành chia_sẻ
7,bộ phim quay núi bạch_mã độ cao gần 2000 m cách huế 50 km
8,ngoài chí phí cao xa_xôi điều_kiện đi_lại cực_kỳ khó_khăn đường dốc hiểm_trở
9,ban_ngày điện đến tối mới điện khoảng 17 giờ đến 22 giờ
10,núi người sinh_sống duy_nhất trạm kiểm_lâm người ở
11,tuy_nhiên nhờ vậy_mà thành_viên trong đoàn làm phim dịp xích gần nhau hơn
12,vai ma_nữ trong phim nữ diễn_viên trẻ mai_hàn hiện sinh_viên năm 2 trường sân_khấu điện_ảnh
13,mai hàn biết cô tham_gia bộ phim nào casting diễn thử vai lan vợ sắp cưới huy chọn vai ma_nữ
14,hai diễn_viên gạo_cội trịnh kim_chi hiền_mai hào_hứng biết một trong lý_do khiến họ nhận_lời tham_gia phim muốn trở_thành tình_địch phim
15,trịnh kim_chi biết chi nhận_lời tham_gia phim biết hiền_mai đóng chung
16,ngoài đời hai đứa bạn_bè thân đọc kịch_bản thấy hai nhân_vật tình_địch nhau chi quyết_tâm đóng_phim cười
