idx, sentence
0,thủ_tướng nêu chỉ_tiêu hội_nghị trực_tuyến bộ ngành địa_phương toàn_quốc bàn giải_pháp đẩy_mạnh thực_hiện bảo_hiểm y_tế bhyt toàn dân một trục quan_trọng trong hệ_thống chính_sách an_sinh xã_hội
1,thủ_tướng chúng_ta nâng tỉ_lệ người dân tham_gia bhyt mọi người hưởng phúc_lợi xã_hội quan_trọng đặc_biệt đối_tượng khó_khăn người nghèo liên thông toàn_bộ hệ_thống bhyt thực_hiện mục_tiêu nêu thủ_tướng giao nhiệm_vụ cụ_thể bộ ngành địa_phương
2,vai_trò cơ_quan chịu trách_nhiệm toàn_diện chính_phủ về mở_rộng tỉ_lệ bao_phủ bhyt bảo_hiểm_xã_hội việt_nam tổ_chức triển_khai phát_triển đối_tượng tham_gia bhyt đề_xuất chính_phủ thủ_tướng chính_phủ bộ ngành về giải_pháp cơ_chế chính_sách liên_quan đến mở_rộng tỉ_lệ bao_phủ bhyt tổ_chức triển_khai thực_hiện
3,tổ_chức hệ_thống mạng_lưới đại_lý thu cơ_chế dịch_vụ công tạo điều_kiện thuận_lợi nhất người dân tham_gia bhyt
4,thủ_tướng cho_phép trong năm 2016 sử_dụng nguồn kinh_phí kết_dư bảo_hiểm_xã_hội việt_nam thực_hiện hỗ_trợ nhóm đối_tượng tham_gia bhyt
5,bảo_hiểm_xã_hội việt_nam kết_nối liên_thông toàn_bộ hệ_thống khám chữa bệnh cơ_sở khám chữa bệnh tạo điều_kiện thanh_toán khám chữa bệnh thuận_lợi hơn
6,hội_nghị cam_kết thủ_tướng thứ_trưởng tổng_giám_đốc bảo_hiểm_xã_hội việt_nam nguyễn_thị_minh biết 30/6 tới hệ_thống tin_học_hoá giám_định thanh_toán chi_trả bhyt 14000 cơ_sở khám chữa bệnh toàn_quốc liên thông_đồng_bộ
7,giảm chi tiền_túi người dân khám chữa bệnh bhyt cơ_quan thứ hai thủ_tướng giao nhiệm_vụ hội_nghị bộ y_tế yêu_cầu chỉ_đạo bệnh_viện cơ_sở khám chữa bệnh nâng cao chất_lượng khám chữa bệnh tinh_thần thái_độ phục_vụ người tham_gia bhyt phân_biệt đối_với người_bệnh khám chữa bệnh bằng thẻ bhyt đẩy_mạnh cải_cách thủ_tục hành_chính cải_tiến quy_trình_thanh_toán khám chữa bệnh bhyt tạo thuận_lợi người tham_gia bhyt khám chữa bệnh giảm chi tiền_túi người_bệnh tăng_cường thanh_tra kiểm_tra thực_hiện bệnh_viện tạo điều_kiện thuận_lợi cơ_quan báo_chí truyền_thông_giám_sát
8,báo_cáo thủ_tướng về chất_lượng khám chữa bệnh thực_hiện bhyt bộ_trưởng y_tế nguyễn_thị_kim_tiến biết nâng cao chất_lượng khám chữa bệnh 1/3 vừa_qua đối_với bệnh_nhân thẻ bhyt liên_bộ y_tế bộ tài_chính thống_nhất điều_chỉnh giá gần 1900 dịch_vụ tính thêm chi_phí phẫu_thuật thủ_thuật 1/7 tính thêm tiếp chi_phí tiền_lương
9,giảm dần cấp ngân_sách nhà_nước cơ_sở y_tế chuyển phần tiền sang hỗ_trợ người dân mua bhyt
10,thời_gian tới liên_bộ tiếp_tục điều_chỉnh giá đối_với người thẻ bhyt bảo_đảm bình_đẳng giữa hai nhóm đối_tượng thúc_đẩy người dân tham_gia bhyt
11,tuy_nhiên tránh tác_động cpi cuối năm nay đến đầu 2017 đợt chúng_tôi thực_hiện điều_chỉnh khoảng 810 tỉnh thành_phố bộ_trưởng tiến nêu kế_hoạch
12,đưa chỉ_tiêu phát_triển kinh_tếxã hội đối_với tỉnh thành_phố trong kết_luận hội_nghị thủ_tướng yêu_cầu đưa tỉ_lệ tham_gia bhyt chỉ_tiêu phát_triển kinh_tếxã hội hằng năm 5 năm địa_phương chịu trách_nhiệm thủ_tướng chính_phủ về tổ_chức thực_hiện chỉ_tiêu
13,bố_trí ngân_sách địa_phương huy_động mọi nguồn_lực hỗ_trợ người dân tham_gia bhyt trong tập_trung hỗ_trợ 30 mức đóng bhyt còn người thuộc hộ gia_đình cận nghèo bảo_đảm 100 người thuộc hộ gia_đình cận nghèo tham_gia bhyt hỗ_trợ tối_thiểu 20 mức đóng bhyt còn hộ gia_đình nông lâm ngư diêm_nghiệp mức_sống trung_bình học_sinh sinh_viên thuộc hộ gia_đình đông con gặp khó_khăn về kinh_tế
14,bên_cạnh thủ_tướng giao nhiệm_vụ cụ_thể bộ ngành chức_năng bộ tài_chính bộ_gdđt bộ_lđtbxh bộ_quốc_phòng bộ công_an ủy_ban dân_tộc
15,thủ_tướng yêu_cầu cơ_quan thông_tin báo_chí làm tốt công_tác thông_tin truyền_thông
16,“ muốn xã_hội nhận_thức đúng về quyền_lợi trách_nhiệm tham_gia bhyt chính đội_ngũ làm công_tác truyền_thông ” thủ_tướng nói
17,thủ_tướng đề_nghị mttq việt_nam đoàn_thể tiếp_tục vận_động hội_viên đoàn_viên vận_động tổ_chức người điều_kiện hỗ_trợ người dân tham_gia bhyt
18,đồng_thời mttq việt_nam đoàn_thể chính_trị xã_hội giám_sát vận_động thực_hiện luật_bhyt
19,ý_kiến địa_phương tphcm hải_phòng hà_nội đồng_nai … hút người dân tham_gia bhyt quan_trọng đầu_tiên nâng cao chất_lượng khám chữa bhyt
20,ngoài_ra hà_nội đưa một_số đề_xuất nâng mức hỗ_trợ học_sinh sinh_viên thêm 20 hiện mới hỗ_trợ 30 hỗ_trợ đối_tượng tham_gia hộ gia_đình thêm 10
