idx, sentence
0,liên_quan đến vụ cướp_giật tài_sản táo_tợn gây hoang_mang dư_luận địa_bàn huyện phú_giáo tỉnh bình_dương sáng ngày 20/5 cơ_quan csđt công_an huyện phú_giáo biết đơn_vị bắt_giữ hai nghi can chính vụ_án nguyễn_thanh_sơn 25 tuổi ngụ xã hưng_hòa huyện bàu_bàng trương_thị_hồng_nhung 22 tuổi ngụ xã phước_hòa huyện phú_giáo
1,cặp tình_nhân xác_định gây ít_nhất 12 vụ cướp_giật tài_sản
2,đôi_nam_nữ bí_ẩn điều_khiển xe exciter hồ_sơ cơ_quan công_an khoảng giữa tháng 4/2015 địa_bàn huyện phú_giáo nổi tình_trạng đối_tượng lợi_dụng trời tối đường vắng cướp_giật tài_sản người dân nạn_nhân thường phụ_nữ đi xe_máy một_mình
3,vụ thứ nhất xảy vào_khoảng 12 h30 trưa 3/5 đường đh506 thuộc tổ 1 ấp tân_tiến xã phước_sang
4,chị trần_thị_tâm sn 1976 ngụ ấp 9 xã an_linh huyện phú_giáo đường thị_trấn phước_vĩnh về nhà
5,đi đến đoạn đường hai đối_tượng gồm 1 nam 1 nữ điều_khiển xe yamaha_exciter màu đỏ_đen vượt dùng roi điện khống_chế cướp chị tâm 10 triệu đồng 1 điện_thoại_di_động nokia
6,tiếp đến khoảng 3 h sáng 9/5 kp5 thị_trấn phước_vĩnh huyện phú_giáo chị lê_thị_ngọc_thúy ngụ kp4 thị_trấn phước_vĩnh điều_khiển xe_máy lưu_thông đường đt741 hướng xã an_bình về thị_trấn phước_vĩnh bán hàng
7,đến cổng trung_đoàn_bộ_binh 271 chị phát_hiện 1 xe_máy chạy phía
8,chị chạy đến kp5 thị_trấn phước_vĩnh bất_ngờ xe vượt áp sát khiến chị ngã xuống_đường
9,chị thúy kịp đứng dậy gã trực_tiếp điều_khiển xe xông đánh túi_bụi yêu_cầu chị đưa tiền
10,chị thúy biết chị trả_lời tiền gã rút một vật giống roi điện dí người chị tiếp_tục truy_hỏi đồng_thời lục_soát chị thúy tìm tài_sản
11,tìm tài_sản gã đến chỗ xe_máy nạn_nhân lấy đi một túi màu đen trong 2 con dao_bào 1 con dao thái thịt 1 quần vải 1 hũ muối_tiêu hắn đến xe một cô gái chờ tẩu_thoát
12,2 trường_hợp điển_hình trong số vụ cơ_quan công_an ghi_nhận
13,trong vụ cướp thủ_đoạn gây_án điểm trùng khớp khiến người dân tin vụ cướp một băng_nhóm thực_hiện
14,cặp tình_nhân sa lưới lời khai nạn_nhân bọn cướp còn khá trẻ độ tuổi 20 đến 30
15,chúng thường chọn con mồi phụ_nữ đi xe_máy đêm khuya vắng người hành_động
16,ra_tay đối_tượng dùng cây roi điện dao đe_dọa uy_hiếp cướp tài_sản người_dân
17,sự_việc khiến người dân lo_lắng nhất_là thời_điểm người dân chuẩn_bị cạo mủ cao_su
18,nhận thông_tin cơ_quan công_an huyện phú_giáo nhanh_chóng vào_cuộc sàng_lọc xác_minh đối_tượng nghi_vấn đồng_thời thành_lập tổ tuần_tra cơ_động tuyến đường
19,chiều 18/5 nhận tin báo công_an xã tam_lập địa_bàn xảy một vụ cướp_giật thủ_phạm một cặp nam_nữ đi xe mô_tô
20,lãnh_đạo công_an huyện lập_tức huy_động lực_lượng công_an huyện công_an xã thị_trấn tiến_hành chốt chặn truy_xét vụ_việc
21,đến khoảng 24 giờ ngày trinh_sát bắt_giữ sơn nhung
22,điều_tra ban_đầu 2 đối_tượng khai nhận đối_tượng nghiện ma_túy
23,tiền tiêu_xài sử_dụng ma_túy đầu năm 2016 đến nay 2 đối_tượng dùng hung_khí roi điện thực_hiện 12 vụ cướp cướp_giật tài_sản địa_bàn huyện bàu_bàng huyện phú_giáo
