idx, sentence
0,chiều 20/5 tand tphcm mở phiên phúc_thẩm_xét_xử vụ án tranh_chấp hợp_đồng thuê nhà bồi_thường thiệt_hại ” giữa nguyên_đơn bà lê_thị_diệu_hân tức hoa_hậu_diệu_hân_– hoa_hậu đông_nam_á 2012 bị_đơn bà ptmt
1,chủ nhà 423 võ_văn_tần quận 3 tphcm
2,hoa_hậu kiện chủ nhà nội_dung khởi_kiện hoa_hậu trình_bày ngày 13/10/2014 diệu_hân ký hợp_đồng thuê một phần căn nhà 423 võ_văn_tần quận 3 tphcm bà t diện_tích 105 m2 mở cửa_hàng kinh_doanh thời_trang
3,giá thuê nhà 45 triệu đồng / tháng thời_hạn thuê 2 năm tính ngày 1/20/2014 số tiền đặt_cọc 3 tháng tiền thuê nhà tương_đương 135 triệu đồng
4,diệu_hân quá_trình thực_hiện hợp_đồng_cô thực_hiện đầy_đủ nghĩa_vụ bên thuê
5,ngược_lại phía bà t cố_ý vi_phạm nghĩa_vụ bên thuê lần
6,ngoài_ra bà t còn thường_xuyên xúc_phạm đến danh_dự nhân_phẩm vu_khống diệu_hân quan_hệ tình_cảm chồng bà nhằm phá_hoại tài_sản nữ hoa_hậu ở phần mặt_bằng thuê gây cản_trở đến hoạt_động kinh_doanh thiệt_hại nghiêm_trọng khiến hoa_hậu không_thể tiếp_tục kinh_doanh bình_thường
7,diệu hân biết không_thể chấp_nhận hành_vi trái pháp_luật bà t cô lần nhắc_nhở yêu_cầu nữ chủ nhà tôn_trọng thỏa_thuận trong hợp_đồng người hợp_tác
8,vì_vậy ngày 4/6/2015 diệu_hân gửi thông_báo đường bưu_điện bà t yêu_cầu bồi_thương thiệt_hại chấm_dứt hợp_đồng vi_phạm
9,gần một tháng hoa_hậu gửi tiếp thông_báo lần 2 phía bưu_điện phiếu báo phát
10,động_thái hoa_hậu đông_nam_á 2012 đệ đơn tand quận 3 tphcm đề_nghị giải_quyết
11,cô yêu_cầu tòa_án chấm_dứt hợp_đồng thuê nhà nói buộc bà t trả tiền_đặt_cọc 135 triệu đồng bồi_thường số tiền tương_đương tiền đặt_cọc 135 triệu đồng tổng_cộng 270 triệu đồng
12,chủ nhà phản tố phía hoa_hậu_diệu_hân trình_bày người đại_diện bà t tham_gia tố_tụng thừa_nhận một_số nội_dung về quá_trình ký_kết hợp_đồng giữa hai bên hoa_hậu nói đúng sự_thật
13,về bất_đồng người đại_diện quá_trình thực_hiện hợp_đồng hoa_hậu lần ý_kiến yêu_sách vượt quá nội_dung hợp_đồng
14,ngoài mâu_thuẫn người đại_diện thừa_nhận giữa bà t hoa_hậu còn mâu_thuẫn khác nhỏ_nhặt tự diệu_hân gây
15,phía đơn bà t luôn tôn_trọng thực_hiện đúng nội_dung hợp_đồng ký phía diệu_hân quản_lý phần nhà thuê kinh_doanh bình_thường tháng 7/2015 hoa_hậu thanh_toán tiền thuê nhà
16,họ diệu_hân tự_ý dọn đồ đi thông_báo bàn_giao thanh_lý hợp_đồng trả hiện_trạng ban_đầu căn nhà
17,đơn đề_nghị tòa bác toàn_bộ yêu_cầu nguyên_đơn đồng_thời đề_nghị tòa tuyên buộc diệu_hân giao trả mặt_bằng thuê thanh_toán đơn số tiền thuê nhà tính tháng 7/2015
18,trong một diễn_biến khác cuối tháng 5/2015 dư_luận xôn_xao biết thông_tin cửa_hàng kinh_doanh thời_trang giữa hoa_hậu diệu_hân bà t xảy cãi_vã xô_xát
19,nguyên_nhân sự_việc bà t ghen_tuông giữa diệu_hân chồng bà dính_líu tình_cảm
20,vụ xô_xát khiến công_an phường 5 quận 3 có_mặt giải_quyết
21,công_an tiếp_nhận giải_quyết mâu_thuẫn tranh_chấp mặt_bằng giữa diệu_hân bà t công_an giải_thích hai bên khởi_kiện tòa giải_quyết
22,bản_án sơ_thẩm diễn tháng 2/2016 tand quận 3 tphcm nhận_định căn_cứ xác_định bà t hành_vi cố_ý vi_phạm nghĩa_vụ bên thuê hay gây_rối phá_hoại tài_sản bên thuê
23,ngoài_ra tòa xác_định ai người lỗi dẫn đến hai bên phát_sinh mâu_thuẫn
24,tòa xét thấy quy_định pháp_luật hai bên mâu_thuẫn một trong hai bên quyền chấm_dứt hợp_đồng thuê trước_hạn thông_báo bằng văn_bản bên kia biết ít_nhất 3 tháng
25,do_diệu_hân tuân_thủ quy_định báo ít_nhất 3 tháng đồng_thời phía bà t thừa_nhận nhận thông_báo chấm_dứt hợp_đồng diệu_hân hợp_đồng thuê nhà còn hiệu_lực
26,tòa tuyên chấp_nhận một phần yêu_cầu khởi_kiện hoa_hậu diệu_hân tuyên chấm_dứt hợp_đồng thuê nhà giữa hai bên
27,toàn_bộ yêu_cầu phản_tố bị_đơn chấp_nhận tòa buộc diệu_hân thanh_toán toàn_bộ số tiền thuê nhà tính tháng 7/2015 đến tháng 2/2016 tổng_cộng 360 triệu đồng
