idx, sentence
0,truyền_thông_thái_lan biết ngọn lửa bùng_phát khoảng 23 giờ giờ_địa_phương
1,ngoài 17 bé gái thiệt_mạng vụ hỏa_hoạn còn làm 5 em khác bị_thương trong hai em còn mất_tích
2,hai trong số em bị_thương hiện trong tình_trạng nguy_kịch
3,17 trẻ thiệt_mạng trong độ tuổi 512
4,14 đứa trẻ khác may_mắn thoát khỏi đám cháy
5,vụ hỏa_hoạn xảy trong em ngủ say
6,đứa trẻ sống trong ký_túc_xá ở độ tuổi 3 đến 13
7,một cảnh_sát biết ký_túc_xá ở trẻ_em dân_tộc miền núi nghèo_khó trong khu_vực
8,trường_học một tổ_chức địa_phương điều_hành chính_quyền
9,hình_ảnh trang mạng xã_hội facebook ngôi trường thấy nhân_viên cứu_hỏa cố_gắng dập_tắt đám cháy bao_trùm tòa nhà hai tầng màu trắng
