idx, sentence
0,chị ngô_bích_lan 31 tuổi một giảng_viên ngoại_ngữ hà_nội
1,ngoài công_việc chính chị còn kinh_doanh trực_tuyến hàng thời_trang
2,chị biết một tháng thu_nhập 30 triệu đồng tuy_nhiên ngoại_trừ khoản chi_phí cần_thiết chị dành_dụm gửi tiết_kiệm
3,“ nhà hai con nhỏ tiết_kiệm một phần phòng ốm_đau bệnh_tật
4,tôi muốn tương_lai con học trường tốt điều_kiện hai vợ_chồng đổi sang căn chung_cư mới rộng_rãi hơn mua thêm một xe ” chị lan chia_sẻ
5,“ tới mấy năm nhà tôi đi du_lịch
6,tôi hạn_chế sắm_sanh đồ_vật vật_dụng cần_thiết
7,món đồ ban_đầu thoạt nhìn thấy hào_hứng thích_thú suy_nghĩ thấy cần_thiết mua tôi mua ” người phụ_nữ 30 tuổi thành_thật chia_sẻ
8,thực_tế phương_án chi_tiêu chị lan áp_dụng khá phổ_biến hiện_nay
9,báo_cáo về chỉ_số niềm tin người tiêu_dùng ntd công_ty nielsen một công_ty thông_tin đo_lường toàn_cầu công_bố ntd ở khu_vực đông_nam_á xu_hướng tiết_kiệm cao nhất thế_giới khoảng 72 sử_dụng tiền nhàn_rỗi tiết_kiệm
10,trong người việt đứng đầu_bảng toàn thế_giới 78 indonesia 75 philippines 69 singapore 67 malaysia 67 thái_lan 66
11,trong bối_cảnh chi_phí sinh_hoạt ngày_càng tăng cao xu_hướng thay_đổi thói_quen chi_tiêu cắt_giảm chi_phí sinh_hoạt tiếp_tục ưu_tiên hàng_đầu người việt báo_cáo hay
12,10 người việt 8 người điều_chỉnh thói_quen trong 12 tháng vừa_qua tiết_kiệm chi_phí
13,khoảng 61 giảm chi_tiêu quần_áo mới 58 cắt_giảm chi_phí giải_trí bên ngoài kỳ năm_ngoái
14,khoảng một_nửa ntd_việt cắt_giảm chi_phí gas điện chi_phí điện_thoại
15,tuy_nhiên báo_cáo ntd_việt tiếp_tục sẵn_sàng khoản chi_tiêu lớn khác trang_trải đầy_đủ chi_phí sinh_hoạt thiết_yếu
16,khoảng 38 người việt biết sử_dụng tiền nhãn rỗi đi du_lịch 34 giải_trí bên ngoài 32 dành mua sản_phẩm công_nghệ mới 31 chi trang_hoàng nhà_cửa
17,“ ưu_tiên chi_tiêu người việt thay_đổi chậm trong thời_gian gần
18,chỉ_số thấy ntd_việt đơn_thuần muốn “ đủ ăn đủ mặc ”
19,hầu_hết ntd ngày_nay khao_khát một cuộc_sống ngày_càng tốt_đẹp hơn chính mang đến mong_đợi khác nhau ưu_tiên khác nhau
20,“ người mong_muốn sở_hữu nhà_riêng hoặc sử_dụng quỹ thời_gian rỗi đi du_lịch lâu hơn vì_vậy họ tăng tiết_kiệm
21,dù thị_trường thực_sự dấu_hiệu tích_cực mong_muốn ở ntd ngày_càng tăng ” bà nguyễn_hương_quỳnh_– tổng_giám_đốc công_ty nielsen việt_nam nhận_xét
