idx, sentence
0,nạn_nhân cô maria_abbasi 18 tuổi giáo_viên ở huyện murree đông_bắc pakistan
1,cô tấn_công hôm 295 qua_đời hôm_qua 16 một bệnh_viện ở islamabad
2,cảnh_sát biết tấn_công maria ở nhà một_mình trông em_gái 5 tuổi trong người_lớn khác trong nhà đi đám_tang
3,tổng_cộng 4 gã đàn_ông xông nhà đánh_đập cô châm lửa đốt
4,cô bỏng nặng gần_như toàn_bộ cơ_thể
5,gia_đình đưa cô đi bệnh_viện cô khỏi
6,bác_sĩ nói cô bỏng hơn 85
7,con bé tra_tấn dã_man thiêu sống
8,chúng_tôi đưa nó đến bệnh_viện ở islamabad nó qua_đời hôm_nay vết_thương quá nặng ông abdul_basit chú maria nói afp ngày 16
9,gia_đình maria biết vụ tấn_công xảy con_trai chủ trường_học cô giảng_dạy ngỏ lời cầu_hôn cô cô từ_chối
10,cha cô nói trong 4 kẻ tấn_công con_gái ông người chủ trường hành_động trả_thù danh_dự
11,thủ_hiến bang punjab ông shahbaz_sharif yêu_cầu điều_tra ngay_lập_tức vụ_việc báo_cáo kết_quả ông trong vòng 2 ngày
12,cảnh_sát murree hay đến nay họ bắt_giữ 3 người liên_quan vụ tấn_công maria truy_nã kẻ thứ tư
