idx, sentence
0,ngày 22/5 đại_tá trương_ngọc_danh phó_giám_đốc công_an tỉnh cà_mau biết chỉ_đạo lực_lượng truy bắt xử_lý nghiêm vụ chém người xảy 2 h ngày 20/5 phường 9 thành_phố cà_mau
1,công_an cà_mau bắt phan_hoàng_thông tự cu_thông điều_tra vụ truy sát nói
2,lực_lượng trinh_sát biết người liên_quan đến vụ chém người lẩn trốn tham_gia truy sát thái thiện_nhân ở khóm 3 phường 4 thành_phố cà_mau
3,2 h ngày 20/5 gần 20 người đi bằng xe_máy xông quán ăn đường nguyễn_trãi phường 9 thành_phố cà_mau dùng hung_khí nguy_hiểm truy sát anh thái thiện_nhân 25 tuổi
4,thái thiện_nhân ngủ đêm trông_coi cơ_sở thiện_thanh_spa số 44 đường nguyễn_trãi phường 9 thành_phố cà_mau
5,phát_hiện nhóm người cầm mã_tấu xông tới anh nhân bỏ chạy phía quán ăn
6,người đổi chém trúng nhát đầu tay
7,gia_đình nạn_nhân trình_báo_vụ_việc công_an thành_phố cà_mau chở anh đi cấp_cứu
8,bác_sĩ bệnh_viện đa_khoa cà_mau khâu 27 mũi vết_thương đầu tay_trái
9,bà thái thiện_thanh nhận tin nhắn facebook một người “ máu_mặt ” băng_nhóm ở cà_mau nội_dung “ gặp đâu chém nói ” cơ_sở thiện_thanh_spa liên_tục khủng_bố bằng gạch đá nước_sơn hột_vịt thúi
10,bà thái thiện_thanh trình_báo cầu_cứu công_an phường 4 công_an thành_phố cà_mau can_thiệp bảo_vệ tính_mạng
11,thế vụ truy sát xảy tin nhắn facebook
